paper_id,title,repository,commit,target,status,published_unconditional_percent,recomputed_unconditional_percent,delta_points,ptr_percent,ctr_percent,a_st_percent,b_st_percent,evidence,notes
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_inception_v3,completed,100.0,98.6,-1.4000000000000057,100.0,100.0,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_inception_v4,completed,76.0,75.4,-0.5999999999999943,76.16033755274262,76.16033755274262,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_inc_res_v2,completed,73.3,72.6,-0.7000000000000028,73.85892116182572,73.85892116182572,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_resnet_v2_50,completed,,69.2,,68.79739978331527,68.79739978331527,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_resnet_v2_101,completed,67.6,63.7,-3.8999999999999915,63.850267379679146,63.850267379679146,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_resnet_v2_152,completed,,64.2,,63.811563169164884,63.811563169164884,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_ens3_adv_inc_v3,completed,31.6,34.6,3.0,32.23684210526316,32.23684210526316,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_ens4_adv_inc_v3,completed,30.0,35.5,5.5,32.9954954954955,32.9954954954955,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,https://github.com/JHL-HUST/SI-NI-FGSM,4464fcd55b5f0a109f7c0190819856d449cc01b5,tf_ens_adv_inc_res_v2,completed,17.4,19.2,1.8000000000000007,18.01896733403583,18.01896733403583,100.0,,Table 4 and survey/recomputation/si_ni_conditioned_metrics.json,Fresh SI-NI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
7301d58eb8a750e44b7da5ab0266b134d1651237,Enhancing the Transferability of Adversarial Attacks through Variance Tuning,https://github.com/JHL-HUST/VT,9c87680732108fefa0d3cb5f22d76715c3010a6c,tf_inception_v3,completed,100.0,97.9,-2.0999999999999943,100.0,100.0,100.0,,Table 1 and survey/recomputation/vmi_conditioned_metrics.json,Fresh VMI-FGSM run through an equation-preserving PyTorch adapter; authors' linked converted checkpoints; per-example predictions archived.
